name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
POPCORN NUGGETS COMBO,8.75,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
FAMOUS BOWL,5.99,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
LARGE BEVERAGE,3.35,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
SPICY CHICKEN SANDWICH COMBO,8.39,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
A LA CARTE DRUM,2.87,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
10 PIECE FEAST,36.0,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
16 PC. FAMILY BUCKET MEAL,47.99,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
16 PC. CHICKEN,34.79,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
2 PC. DRUM & THIGH COMBO,7.19,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
2 PC. BREAST & WING COMBO,8.39,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
4 PC. CHICKEN COMBO,13.19,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
CLASSIC CHICKEN SANDWICH BOX,12.35,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
SPICY CHICKEN SANDWICH BOX,12.35,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
1 PC. BREAST FILL UP,7.19,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
FAMOUS BOWL FILL UP,7.19,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
POT PIE FILL UP,7.19,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
CLASSIC CHICKEN SANDWICH,4.79,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
CLASSIC CHICKEN SANDWICH COMBO,8.39,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
SPICY CHICKEN SANDWICH,4.79,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
2 BISCUITS,2.27,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
A LA CARTE BREAST,3.59,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
A LA CARTE THIGH,2.87,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
A LA CARTE WING,2.87,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
LARGE POPCORN NUGGETS,5.99,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
12 CHOCOLATE CHIP COOKIES,8.39,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
MEDIUM BEVERAGE,3.11,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
1/2 GALLON BEVERAGE BUCKET,4.79,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
HONEY SAUCE,0.0,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
KETCHUP,0.0,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
HOT SAUCE,0.0,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
HONEY BBQ SAUCE,0.0,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
CLASSIC RANCH,0.0,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
HONEY MUSTARD SAUCE,0.0,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
KFC SAUCE,0.0,,KFC (641 GRAVOIS ROAD),"UBEREATS, FENTON, MO",,,,,,,
