name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
2 BISCUITS,2.15,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
POTATO BOWL,5.99,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
4 PC. CHICKEN COMBO,11.51,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
POTATO BOWL COMBO,6.59,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
SPICY CHICKEN SANDWICH,4.79,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
10 PIECE FEAST,36.0,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
16 PC. FAMILY BUCKET MEAL,46.79,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
16 PC. CHICKEN,31.19,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
2 PC. BREAST & WING COMBO,7.19,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
1 PC. BREAST FILL UP,6.59,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
MAC & CHEESE BOWL,5.99,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
MAC & CHEESE BOWL COMBO,6.59,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
CLASSIC CHICKEN SANDWICH,4.79,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
CLASSIC CHICKEN SANDWICH COMBO,8.39,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
SPICY CHICKEN SANDWICH COMBO,8.39,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
A LA CARTE BREAST,3.59,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
A LA CARTE DRUM,3.35,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
A LA CARTE THIGH,3.35,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
A LA CARTE WING,2.87,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
12 CHOCOLATE CHIP COOKIES,6.35,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
MEDIUM BEVERAGE,2.39,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
LARGE BEVERAGE,2.63,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
1/2 GALLON BEVERAGE BUCKET,4.79,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
HONEY SAUCE,0.0,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
KETCHUP,0.0,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
HOT SAUCE,0.0,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
HONEY BBQ SAUCE,0.0,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
CLASSIC RANCH,0.0,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
HONEY MUSTARD SAUCE,0.0,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
KFC SAUCE,0.0,,KFC,"10825 E. COLONIAL DR., UBEREATS, UNION PARK, FL",,,,,,,
