name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
HOT HONEY CHICKEN,8.25,660.0,SHAKE SHACK (5500 GREENVILLE AVE.),"UBEREATS, DALLAS, TX",,,,,,,
CHICK’N SHACK,7.35,590.0,SHAKE SHACK (5500 GREENVILLE AVE.),"UBEREATS, DALLAS, TX",,,,,,,
AVOCADO BACON CHICKEN,9.45,550.0,SHAKE SHACK (5500 GREENVILLE AVE.),"UBEREATS, DALLAS, TX",,,,,,,
'SHROOM BURGER,7.79,550.0,SHAKE SHACK (5500 GREENVILLE AVE.),"UBEREATS, DALLAS, TX",,,,,,,
SHACK STACK,11.15,800.0,SHAKE SHACK (5500 GREENVILLE AVE.),"UBEREATS, DALLAS, TX",,,,,,,
GRILLED CHEESE,3.99,350.0,SHAKE SHACK (5500 GREENVILLE AVE.),"UBEREATS, DALLAS, TX",,,,,,,
FRIES,3.15,470.0,SHAKE SHACK (5500 GREENVILLE AVE.),"UBEREATS, DALLAS, TX",,,,,,,
CHEESE FRIES,4.19,710.0,SHAKE SHACK (5500 GREENVILLE AVE.),"UBEREATS, DALLAS, TX",,,,,,,
BACON CHEESE FRIES,5.15,840.0,SHAKE SHACK (5500 GREENVILLE AVE.),"UBEREATS, DALLAS, TX",,,,,,,
HOT HONEY FRIES,4.39,470.0,SHAKE SHACK (5500 GREENVILLE AVE.),"UBEREATS, DALLAS, TX",,,,,,,
HOT DOG,3.89,390.0,SHAKE SHACK (5500 GREENVILLE AVE.),"UBEREATS, DALLAS, TX",,,,,,,
CHERRY POP SHAKE,6.49,800.0,SHAKE SHACK (5500 GREENVILLE AVE.),"UBEREATS, DALLAS, TX",,,,,,,
TRIPLE CHOCOLATE CHIP SHAKE,6.49,800.0,SHAKE SHACK (5500 GREENVILLE AVE.),"UBEREATS, DALLAS, TX",,,,,,,
SHACK2O BOTTLED WATER,2.85,,SHAKE SHACK (5500 GREENVILLE AVE.),"UBEREATS, DALLAS, TX",,,,,,,
ORGANIC APPLE JUICE DRINK,2.08,40.0,SHAKE SHACK (5500 GREENVILLE AVE.),"UBEREATS, DALLAS, TX",,,,,,,
TOPO CHICO,2.95,0.0,SHAKE SHACK (5500 GREENVILLE AVE.),"UBEREATS, DALLAS, TX",,,,,,,
