name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
PASQUALLY'S SPICY PIGGY PIZZA,16.99,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
PASQUALLY'S LARGE CYO 14 PIZZA (INCLUDES 1 - TOPPING),12.99,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
PASQUALLY'S LARGE 14 CHEESE PIZZA,10.99,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
NEW SHAREABLE CHEESY BREAD,7.49,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
HOUSE SALAD,4.99,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
ALL MEAT LARGE 14 SPECIALTY PIZZA,15.99,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
SUPREME LARGE 14 SPECIALTY PIZZA,15.99,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
VEGGIE LARGE 14 SPECIALTY PIZZA,14.99,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
HOMESTYLE BBQ CHICKEN LARGE 14 SPECIALTY PIZZA,16.99,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
OREO ICED BROWNIE,3.0,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
PEPSI,1.59,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
DIET PEPSI,1.59,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
MTN DEW,1.59,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
EXTRA CELERY,0.5,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
SIDE OF BUFFALO SAUCE,0.49,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
SIDE OF BBQ SAUCE,0.49,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
SIDE OF KOREAN BBQ,0.49,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
SIDE OF HONEY HOT SAUCE,0.49,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
SIDE OF MARINARA,0.49,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
SIDE OF RANCH,0.49,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
SIDE OF BLUE CHEESE,0.49,,PASQUALLY'S PIZZA & WINGS P580 (13364 MONTFORT),"UBEREATS, DALLAS, TX",,,,,,,
